Commental title,Review main body
Personal guess for the director's intention,"This type of drama, but the work of the drama tension and story integrity, as well as the intention of the director deploying the plot, is very strong. Director is deeply reflected on how human understanding and people are finally effective. 1"
"I am curious, is it necessary to do a game? Directly escape model may have saved this drama.","Can I put the character story background to the chat dialogue? Do you want to explain the game rules Let the players go to study the game vulnerability? BUG is full of flying, the plot is more than the old suit is still very vulgar, where is the flash point of this drama? As soon as six games, I will continue to water, I really want to fall asleep. Is Netflix spend money in Xuanfei? I can only say that Netflix is __really rich. Reality"
"""Squid game"": survival",/
Humanity game,/
"Decrypt ""Squid Game"" Red Man Organization",/
Some micro _,"Wife out __ Even if there is reason _ don't go back, _ ÀíÓÉÉú _. _ Mother _ _ no _ female ___ Îï, but first go __, annual answer _ __ can not do it until the end is there _, _ _ _ _ Ã÷ ×Ô¼º ²» _ "" Betten and women _ _ fixed. Be __ ÓÐ µÀ _, __ has a sentence _ mother _ healing disease. _ Òª _ Å® __ body _ people father"
I like the most,"I am not three views. I really like Shang You. In this kind of death is my live environment, choose team or single dry, and maximize your own interests. There is a very clear purpose, and there is no movement of this belief from the head to the end, and it is unswervingly to achieve his goals. This kind of person is really selfish, but I like it ... I like women very much."
From amazing to disappointment ...,"First, I saw 123 wood people's fragments on the short video platform. I like this exciting feeling, and the color of the stairs is also super love, hurry to find resources, the result ... I want to say a word, the whole drama who took this money Not too much, why is a man! Let me say that I like 1. Several games I like is 123 wood people and glass bridges. Stimulating tension, more steps, tension,"
5 sentences summary this drama director to tell us what,"The best thing to do with the movie is the human part. Ok: 1. The child wants to raise and don't stay. This is my greatest resonance, you can be old when you are in your poor, your mother has no opinion, and you will make any mistakes, but you make money. Can't make this desperate, this"
"Also believe in people? Three conjectures for ""squid games""","The Korean drama ""squid game"" of the recent brush screen is a fire. According to Netflix, since the online September 17, ""Squid Game"" has settled TVSHOWS to TOP1, which became the first Korean drama of the top. At the same time, the play is also a heat in China. Some people change the Chinese version, some people challenge the excavation _ sugar, some people sell the masks and sportswear. The most funny thing is that some people will be Wu Jing's table"
Childlike hell,/
"All net brush screen, this 19 banned new drama saw my adrenaline madness","The most popular new drama in the near future is not it. Brush global hot search, breaking the new new record, but also creates history. At the same time, it also disputes four, plagiarism, and integrates ... The evaluation is mixed. Today, come to specific chat - squid game class + card, absolute Wang fry - network fly, Huang Dongz (""furnace"" ""strange she"") is directed; Li Zhengze (""New World""), Park Sea"
A kind of gas,/
notes,"# Íø ·É ÓÐ ÓÐ ÓÐ Ã» Ã» Ã» ÊÇ ÊÇ ÊÇ ÊÇ »¹ »¹ ÊÇ ÊÇ »¹ ÊÇ ÊÇ ÊÇ ÊÇ ÊÇ ÊÇ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ µ¥ »¹ µ¥ µ¥ Àí Àí Àí Àí Àí Àí Àí Àí ×¡ ×¡ ×¡ ×¡ ×¡ ×¡There is blood relationship, it is quite ok. I am sighing the ability of South Korea's cultural output, and I hope that my country's film and television art practitioners can usher in freedom and creation."
Squid game: the strongest drama eight-character analysis,"Squid game. _____, SquidGame. In the fall of 2021, the TV drama ""squid game"" dominated by Hu Zhengzai, who starred in Korea, has received more than 100 million faithful audience since only more than ten days, and became global phenomenon. The story tells: In the fictional world, 456 backgrounds have a collection of players, 456"
Don't take a life play?,"Once, the rich people will make money by the poor; now, the rich people will take the poor. There is a typhoon in the play, it is very eye-catching: ""You know, what is the common person of the people who are not framed with the family? It is a lot of life without fun."" So, earning enough money After extracting the residual value of the poor, start to extract their happiness, turn the poor ""life without fun"" into rich"
"Squid game: more murderous than ""hidden corners"" (including some spoiler)",/
"This is impossible at China! Don't say the city camera, check the drunk driving in the evening, let these red clothes have a coma in the cartoon. . . .","The city is directly connected to the city. ? The driver then wears a red dress to wear a mask? ? Then people in the car are all coma? ? Then six orcharies the same car is still open in Malaysia Road. ? Every time I suddenly disappeared hundreds of people? ? Then this kind of thing can continue for more than ten years? ? If this is not possible in China! Don't say the whole city HD camera, just say"
"As always, the bold Korean drama",/
This game has also played when we were young.,"I just finished reading the first episode, don't you play the game? ! It is called ""siege"" or what is going on ... The game is as shown in the figure, black is ""wall"", can't span. There are two doors that have two doors in diagonal, and people who have ""city"" can only jump in one foot, can't change their feet, and they will be out of feet. The goal is to occupy the ""treasure"" of the other city. You need to go out of the city, and you will break into the door from the other side."
Do you still talk about why you will participate in this game?,"The factory is closed, the wife is remained, and he is gamble. It's really terrible, and my daughter can only eat more than ten twenty-year-old cakes. Combined with the last episode of the liability rate is high, I feel that IPADPRO, which is cracking on the screen, can also fight for three years. Purple potato pudding potato pudding purple potato pudding potato pudding purple potato pudding potato pudding potato pudding potato pudding potato pudding potato"
Squid game,"This drama is very like a movie before, I don't remember it, it is also tied a group of people, and the big giant will pay a few can live, and the contractor earns the __. However, the drama will not have a winner, everyone will die, and they are abused. The last person will pay attention to her death, and even the reason is, others Last people"
The real game of the inner roll country is from the bottom of the interest.,"People who brushed a similar Japanese generous work will have a sense of the mid-autrium. But this is not an ordinary adrenaline drama. The Shuanglilu will always have a Heroes who have opened the protagonist who hang-like thorns (the buddhous flow of the boutique) that this protagonist appears to be weak. At first, it seems that kind of kindness, after the challenge, it is weak, and that kind of kindness and hypocrite seems to have a district."
[This is not a film review] human nature?,"This is not a film review, just a sense of movie to set the player's common attribute into debts, which should be reasonable. This piece should also reflect on social problems. This episode puts the debt in the core position. If there is no debt, this group will not be gathered to play life and death games. Although they didn't want to participate in the game after experiencing the first life and death game, after all, they were lost. But see"
"Some questions and feelings of ""Squid Games""",/
Their outcomes seem to have been destined,"Continuously, please take careful. (The following point of view only ""What kind of person is the participants in"" Squid Games ""? First of all, there is no exception, they are carrying huge debts. Second, 456 participants were invited to come here, and they had a game with mysterious men. This did not explain that every competitor had a certain degree of gamblers, and in the case of so difficult"
sorry! I haven't seen such disgusting men for a long time.,"I want to spit out for the actor of this drama! I haven't seen such disgusting characters long time! ! I have been seeing 456 complaints of the Financial Male's Glass Bridge. I wake up, this man is still a stupid! Is there a sinful beauty, isn't you lie to the old grandfather? It is equally pushed to the muzzle, killing people, killing the sage, if there is no"
The end of the game,/
Squid game ___ __,"People are not because they are worth believed, because they don't believe it, they are not far from the woman who is despised. It is more terrible. If you can satisfy me in five minutes, I will change your life. If you can satisfy me in five minutes, I may have to spare you. One or two wood people, buckle cake, tug-of-war, marble, overwood bridge, squid game. Childhood game"
"Kong Liu opened the killing game, the big coffee cloud gathered for the competition, Korean drama broke out","Recent online network flow media, straight ""squid game"", a hot, squid game, is a good chart. 1 Probably no one of life is more failed than Qin. After the year, I have been supported by the old mother. The wife married her daughter and married, and she would rather let her daughter shouted that the father was dad, and he did not want to be a Qun to see the child. Worse, because I owe a lot of freeway, Cheng Xun was forced to sign a copy."
Squid game may be a little bit of a game marketing.,"Released, the score is high, is it a water army? Still not watching TV drama movies? That's right, I am killing a stick, do not accept any refuters. The first 3 episodes are a bit a bit, really good! From the fourth episode! Just starting to think that the man is very like most of the abbreviations, the uncomfortable underlying ordinary people's abbreviations. Behind the fourth episode, you will think this man is a brain."
Squid game of the plot bug,/
"""Squid Game"" brief discussion summary",/
"""Squid Game"": Exposing the Basten Line of the Children's Game","Say it is 2021 cool TOP1 probably no one will question? I just started to feel that the name of ""squid game"" did not understand, and later found that this is the traditional game of the Korean people. It is also the name of this drama finally clearance challenge! In the drama, in the real life, LOSER has issued an invitation card, and the game will have the opportunity to win huge wealth to change life. Lian Morder in six games,"
I don't know if it is,/
Liver hhhhhh,"I drop a picture ~~~~~ After reading the squid game, I feel that special terrible ÎØÎØÎØ ¾Í is that when I have, I have been thinking that I am justice or evil. The squid game is for her own desire. Let others sacrifice the girls, the girl is like a girl, and the feeling of the heart is to jump, the feeling is that people are very painful."
See American Tuhanda Entertainment from Squid Games,/
Think after reading,/
Accepting the complexity of human nature,/
Squid game: another green tea,/
Look at the squid,"2021.11.624 years old. very good! Finally tackled. Super like the woman. The front of the Game is too stimulating a two-three wood. There is a big doll. It is very stunning group to shoot very exciting. Ali people have saved the male life. The tug-of-war is also very good. Test IQ, you can still have such a river, men and women, can be fortunate enough to live the old boss policy to live. The second cool girl came in"
Squid game - why gambling?,"Gambling is a gambling, after a meal, I have been looking for fun, and the gambler is deeply imagined to turn over the illusion! In this rich man is a visitor, a social side of the city is a gambler game, exposed is a complex ugly humanity, is a madness of the top one! The margins in society, there are some self-satisfaction, such as mob, wicked, æ½æ½, there are some of the social structure"
Forcgonally on the dispatch,/
Provincial flow assistant,"Point of music, this is given this! I left for half an hour to go back to cool the clothes. I can't do it, I doubt that people are born, it is a hard to eat, hey, I can't taste it, I feel like a taste, I feel the general ¨ß (_, _). Looking at the class, a little liver every day, hahaha. Text: That is, a bunch of people who owe a high debt gather together to participate in the game. First tour"
Dolly squid game,"Recently, the ""squid games"" of major TV lists were taken by people, but there were many people who were nasal to it! I may be a middleman, love to it, especially for it. Let's talk about the subject matter: Violence, who will not be like? ! Many violent film and television are very colorful, and they are not listed. Horror, not terrible, game play, no more, a bottle of water, an egg, one side"
Smile point (slot point),/
Those who are humble to the dust,/
Didn't look at other dramatic comments,/
Small squid game small record,/
456 IQ in the second quarter?,/
456 IQ in the second quarter?,/
Squid tour play review,"Cheng Xun, Xun Mother, Xun Wang wife, Xun Daughter (Jiaying), Xun friends, squid game recommendation people, Shangyou Mom, Zhuang Denby, a total of 456 people participated in the game: 123 wood people (eliminating 255 people, surplus 201 people) Vote 100-1 101, the game is suspended to cancer the old man (1 Wu Yi male), Cao Shangyou (218), Jiang Xiao (pickup hand 67), Zhang Dexiu (101), Ali (199), did not give"
"East, a drama, but it is still a success, it is worth seeing",/
Maybe we can still be kind,/
"Squid game, fairy tale to adult",/
"Small investment, seedling seed",/
"Very exciting, but regrets modern film and television have dropped classic beauty, only win with strong circumstances.",/
One plug-in film,/
One plug-in film,/
One plug-in film,/
A view,/
Human game,"This is a realistic and human game. A group of LOSERs are murders in the real society, the murder, and the poor walking, after all, or automatically or passive, but finally, I will take the initiative to enter a game that can't be turned back, only the end of the game. One or two wood people were eliminated. In the face of death, many people are afraid, want to withdraw from the game. But seeing the plus in the piggy bank"
"Discuss the difference between male and male seconds, and why the male owner will be paid by the old man.","Here I want to discuss the difference between men and men, and why the man will be paid by the old man. The following is a conclusion from a personal opinion, welcome discussions from different opinions. The sudden transmissive is more than a lot, I have never seen the film. Let's talk about the conclusion, male second and male, people's ideas do not have much difference, the difference is to judge and pre-estimate the ability to divide the two-pole differentiation, causing two people to make a distinct choice. Firstly"
Many things we are gambling,"One and countless short video, let me search for this fire. Generally, I personally don't watch hot hot play. I will generally wait until a certain day, then chase, then I have been updated, I can see any set of attention. But this show, I brushed up all night to 3-4 points. The first time is to sleep early, I have skip a lot of small details, I feel"
"""Squid game"": too cruel",/
Baohaus with squid,/
"The best show, no one","""Squid Game"", the story of the burst + the ultimate exploration of life, the best looking drama, no one! Always don't catch a cold in Japan, because it is often focused on life and human nature. But it is still unable to hold the annual marketing, look at it, just get it! The drama applies the violent aesthetics gold to the application. The former moment or dreamy ""skil"
Underlying,/
Plagiarism? Frame? I do not think so,/
Be known,"""Squid game"" is known, take it too light. The whole network recommended is quite high, after reading the rough killing game of the plot. ""Hunger Game"" + ""Burning"" + ""Chainsaw"" + ""big escape"", at least these parts, you can refresh. Many points. Dialogue thinking that the uncle is a desire, the desire is not satisfied, it is painful, and it is bored. Life is swinging between pain and borsing"
Talk about the feeling after reading,/
Simply write a little bit of feeling and small spit,"1 The story script is a successful rhythm. It has a Hollywood model that has a professional calculation of the audience but does not hinder me. The drama is really attractive 2. Performance and discussion; if the core of the entire story is the true idea of __the master, it is too romantic, if not that is too political"
"The drama is good, but I don't expect the second season.","I saw this play, and the short video platforms were discussively discuss, no time until this weekend made a. Personal point of view, currently 7.6 points of Douban is quite together. The overall drama is good, it is somewhat. Seeing the dramatic commentary of the dramatic experts from all walks of life, I watched the film and television works is not so deep, talking about a few words. 1 About the first Korean drama of Korean drama is ""Sorry, I love you"", year"
"456 and 1 intertwined, is two virtual conversions","The set of people from the circle, the child's real child game, and the bloody picture form a strong contrast, and the soundtrack is very subtle, and the horror atmosphere is coming. When the first round of participants were selected, the button sound of alternating Yesorno, and the soundtrack of the class button echoed, it was really impressive. Represents triangles, circles, squares of the squid games and the island, running throughout. Mask"
"Too much, persuade",/
"""Squid game"" Do you dare to play?","The whole drama of ""squid game"" is through the game, mainly is that 456 people have selected the final winner by playing 6 123 wood people, _ sugar, marble, tug-of-war, etc. The winner's reward is 45.6 billion won (about 250 million yuan), although the bonus is rich, but the cost of the loser is also very large, they will give their own life. At first, I saw ""squid game"" on major network platforms."
"Amazing opening, boring end",/
Humanity game,/
Squid game,"Personal feelings, all spoiler. Recently, I have read very hot squid games, I finished reading at a point in eating time. The man is the very common little person. Really, when he finally got the bank card __, I worried that his bank card __ was taken away by the people next to him, or from rot The coat pocket is lost, just like the bonus of the horse. . Silent, just"
Diversity drama,"The first episode: 1) At the beginning, it is contempt and does not care about social rules. After adulthood, it has finally been arranged by social rules. No education, there is no good job (reflecting your college entrance examination score score score, big four contempt). So a group of people who are small temptation (gambling, gambling), and finally indemnure in gambling (the Man is sitting in Zhuang, fooling gamblers), borrowing money and forcing the bad circulation"
Life is a game,/
"Squid is like your physiology, I want to say that you love you is not easy.","1 From this slice to see Korean games. I have just written the children's games during the Republic of China. I didn't expect such a big escape, but also the game as a prototype. The 123 wood people in Episode 1 let everyone pick cold. In fact, I think it can be translated into 123. More in line with Chinese language. South Korea's games also have painted films, ghosts, footprints, lost stones, and hide and seek. Fried pork chops, traffic lights. School girl"
"""Squid Game"": Survival",/
Circuit is weak,/
A drama that is full of so many unreasonable plots worldwide? Hype?,/
Casual,"Also, but if you don't want to look good, you are deceived by people. When you are deceived, you feel very bad to have been forced and your wife children are not easy to have someone who claims to be a brother to help yourself. Finally, the big uncle was in the roadside, who had a person who lived in life, and the people who have saved the waist wrapped around and had everything."
Squid game 1-3 episodes,"Last night, I saw 1-3 episodes of squid games. At the beginning, the man's distress and performance style made me can't help but steal this is a comedy TV series. The two old mothers in the play, the year-end, but still worked hard, the family's service, the love of the son, touch people. The man's meeting is very embarrassing, although it is very embarrassing, but it can feel warm affection."
Humanity falls in the quarter,"Write in front, I have always been very interested in this type of drama, but this drama is too hot, and has always been chasing Han always uses some games, afraid to watch variety. There were some interesting, so I started to decide to see this drama. Before writing these text, I haven't seen a film review, the most is brushed is that Jiang Xiao's actor is so cool."
"""Squid Game"" is a Korean drama of Korean drama?","Finally, after reading # ÓÎÏ· ÓÎ # # Óã ÓÎ ÁË ÓÎÏ· µ± This series is because of the card, it is delayed because it is almost the story introduction to persuade, survival games. . . This stalk is not a bit old. . . So, plagiarism, Duck does not have to be, this is the type of drama, the United States, Japan, and even Thailand, just like the hero, almost all have similar experiences, are all sets. . . I think"
"Suitable for eating, do not have a brain drama","The whole drama has been a bit boring from everyone to start, and the opposite protagonist can't die, so it is completely not nervous. I hate a few points: 1. The game is a group of big horse races, several foreigners take the scene of the scene to sit too embarrassment. 2. The police line buried a lot of plots to develop, so the ends of the end are forcibly allowing the male to continue to participate."
Survival law in the squid game,/
Old suit does not affect the exciting performance of the actor and excellent details,"The storyline is not complex, death game is a routine of many film and television works. It's hard to be difficult, take the film version of the texture, picture details, the actor's acting is so delicate. I saw Korean drama this year, I really admire. Li Zhengzai is really a big handsome guy! Too taste! The drama is thrown, the actor's face, the different play is completely different, so handsome face, the performance of the active character is natural. First"
One or two wood people,/
Personal views on the three rules of the Squid Games,"At the end of the first game, several women ran came out to end the game, the scene was out of control and then the staff did not allow, and the gun warned, and moved out the second item of the consent. Then, the high IQ's Shangyou discovered the game vulnerability, moving out the third The rules, in the way, it is also intelligent, but ignores the greed of humanity. So the staff is not doing things, not directly vote, and"
Realism criticism of Korean society,"South Korea's film and television works come to directly hit people's hearts, and the realistic style of the needle is widely known. ""Squid Game"" This drama is more rough, fierce, cold, and coldly, with the ""big escape"" story model, vivid and criticized, and criticized in Korean society. Players who eat people's money empire participate in the squid game up to 500 people, they"
A TV series with a mortality of up to 99.78%,"It has been chasing a TV drama with the drama. In addition to work, all available time is invested in reading, writing, listening, etc. Of course, this is the study habits that must be practiced and the life goals of continuous life. This is strange, why is it good to see the drama?"
The biggest sorrow of life is the reason for not living.,/
Ridiculous people,/
Music> plot,"Recently, the word appears in life is a bit high. WeChat chat Some people said that the big UP in the B station video is mentioned, so I rarely look at the Korean drama, I didn't hold back, I went to see it. The overall look, it is more complicated, but there is no many people boast. Music has to be said that this TV series is doing great. Classical music with plots, as well as the picture"
Is the five-star praise did not read the TV series?,/
Can only say it,"Hello everyone, this is a small white written film review! I posted my viewing record before, everyone reminded me to write a film review, saying that the truth is a bit is difficult ~ Look, I will, evaluate, I am still a schoolboy ~ So I will say every word I said, I can be used as Hu Tu ) (TU) eight (Fang) road (PI)! Talk about the ""squid game"" that is recent Gray often! First of all, this film, I feel that I have blowing it, I look forward to"
Shameless,"This year, there should be no more than ""squid game"", it is probably not in this year. After the same type is almost the same type of film and television comics, analyze the ""squid game"" in his own point of view, and the same type of other shadow drama is not fired, and this type of content isÉ¶ É¶ °® °®. 1 Let's talk about the foundation of this drama: good quality,"
"""Squid Game"" online praise, I don't accept",/
"""Squid Game"" online praise, I don't accept",/
"Very good, China can't shoot now",/
Cao Shangyou's pressure,"Cao Shangyou is a golden phoenion flying out of the double-door hole. Twenty years ago, he proved that he was the first. Decadentated, he proved himself in the squid game. Then he is so fascinating? He lost to someone who smart than him. This is not very fair, the same person, the people who are born, want to take a head, defeating the same kind, not a victory, only defeating everyone, is worth victorious. And the top class"
"Life needs flavor, more exciting, better","I don't know how to shoot the movie, I don't pitque, I just see all the things you see in this drama want to show me. Korean film and television works are in the direction of human nature, and the money seems to be a bottom line that is more human nature. In front of huge money, family friendship is worthless. In front of life and death, it is not worth mentioning. When we are small, we will do our best, regardless of loss."
"Some bugs on some settings and details do not affect overall logic, but it is easy to play from time to time.","1 Posture 2, the police latented at least 4 days on the island, during the various mobile phones, doing records, without a smartphone support for so long. In addition, the mirror is started"
Write writing,/
Sinking stone - ghost hole Liu and other,/
What do you see? Who are you?,"This type of TV reflects the sense of insecurity in society. Pessimistic view on human nature, and personal weakness. Put the focus in human nature, selfishness, you can find such a case in minutes; transfer the focus to humanity, beautiful, you can also see such a situation. For the views and ideas of human nature, you decide where you put your attention and focus. XX violent XX force"
"The world is absurd, life is painful",/
"""Squid Game""","The screenshots from the Korean drama ""squid game"", the scene is the ""VIP"" lounge. It was very impressed before watching ""Thousands of Thousands of Thousands"". It is the last place to ""radish"". There are several layers in the bathing of Tang Po. The bottom is a large-scale bath, and many people are squeezing in an open space. The top floor is a single room that looks a special in every room."
Ancient and modern changes in Democracy meanings,/
title,"1__ ´æ ´æ is actually a pig 2__ really look! ! It seems that a collection is short, there is actually one hour 3__ drink wine _ burning charcoal, my ideal death method, just I will choose to stay in the hotel 4__ This voice broadcast is really vitality, with BGM old appears Same, I really ironically, when I use a memo, hurry to look at the upper right corner, percentage"
A drama of the Chinese rule,/
(Where is the hell or game),"I have to admire the performance of Korean actors, even if it is more similar topic script, the role itself can make people resonate, or hate or admire, I think it is very annoying that an actor can interpret the role, let people hate it Into the bones, then I was very impressed in my heart. For example, I really felt that the male is so speechless. . But it will be touched by his kindness, very"
This is the current status of Korea.,"VIP: Is it hints that five things! And ask for you. Even the so-called fair can be changeable. Turn off the lights and remind it. The identity setting of the male master is the current situation in Korea. Unemployment rate, leapprint, old, organ transaction, high-rise and underlying isolation, sneak, etc., this brain is good to suffocate. Because BUG is too much. Try below. Men and others are because they have not posted"
This world is a squid game,"Simple rude version of the jungle law. In the public, every billion bonus is a person's life; at VIP, people are a little chess piece for fun. Suspense is just right, just after reading it. The first episode ¡¤ One or two three, the wood man under the innocent hat of childhood game, blood is washed half of the entrant. The second episode, hell is original, it is hell. These liabilities of life, hope"
Heaven,"This is the second series of success this year, saying that the truth is more than a strong, whether it is a moving or plot, acting is a hanging. From this drama, I will type the grass, I will type grass, this is Li Bingxian, and Kong Liu and Li Zhengzai all the active school. It's easy to learn the exam, and then download it to your mobile phone, go to work. After a few days, it is very cool. Let's talk about the story first, I think the director"
Who will fight,"The squid game saw that I didn't dare to look at it. I got it even twice the speed, not because I didn't look, but because I was put, I didn't dare to face it. One game once a time. The game is dignified, and the complex exposure of human nature has no legacy. Shangyou looked out all the boungers, Chao Arrang, suspected that Ali cheating to squat and plead, think about it, Ali did not know his trick"
May we all win your own squid game,/
Player is trapped in the system,/
"People are not advanced animals, senior talents are","Some similar American dramas such as ""Squid Games"", ""Hunger Games"", are showing a phenomenon, or build a cognition: drive and manipulation of money and power, the bottom class becomes a high-end entertainment tool, Even sacrificing life, only for the pastime of the latter. Just like horses on the horse, chicken in the cock. Human society is also working in this way. Workers sell their hits for capitalists."
"""Others are hell""","After reading this, the heart is very heavy. Returning to childhood, returning to the original desire. For everyone to live to the next game, everyone will kill. I can't help but think of the ""Moori"" mentioned in ""In this world, our one fell, it is possible to cause death."" Movie just enlarged the amazing magnifying glass in the reality, and the desire to use money symbolize, Social sinister game"
"""Others are hell""","After reading this, the heart is very heavy. Returning to childhood, returning to the original desire. For everyone to live to the next game, everyone will kill. I can't help but think of the ""Moori"" mentioned in ""In this world, our one fell, it is possible to cause death."" Movie just enlarged the amazing magnifying glass in the reality, and the desire to use money symbolize, Social sinister game"
Piano key,/
The best part of the squid is the squid must be (lost)!,/
Squid game || Small secret in Utopia,"When ""Squid Game"" just went online, I thought that Net fly has also made a zombie similar to ""Kingdom"", and the palace thriller plus hunting. The topic that has not been thought of ""squid game"" continues to be hot, so that it has become a phenomenon in the world ... so I can't help it, I really learned it once. First of all, I am grateful to Li Zhengzai, who is handsome, ""face, touching something"" (this somewhere: once"
Putting _ good person's skin __- ³ÉÆæ _,"_: ___ has a lot of __ love ___ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ do not enter the thunder _ _ _ life is frustrated _ ghost, _ Ê§ Ê§___ times __ Ê§ _ ÏÂ _200_rnb __, most _ ___ _ _RNB_ µÃ _2_4 thousand _RNB_, from 454_ people's life heap _ , Peace, __ charge _ positive _"
"Will not bother, but will look forward to the second season",/
"Don't close the hypocrisy, will bring unfortunately",/
Squid game,"The rich man has been comfortable to boring, but poor people may have no pain. But no matter what, rich people have to deal with life. We have to face life until they die. 11111111111111111111111111111111111111111111111111111111111111111111111111111111111 ()"
